start_id,end_id
I0001,D001
I0002,D002
I0003,D002
I0004,D002
I0005,D002
I0006,D002
I0007,D002
I0008,D002
I0001,zz0001
I0002,zz0002
I0003,zz0003
I0006,zz0004
I0008,zz0005
I0001,QG003
I0002,QG003
I0003,QG003
I0006,QG004
I0007,QG007
I0008,QG002
I0009,BY001
I0010,P002
I0011,P002
I0012,P002
I0013,PR01
I0014,PR02
I0015,PR03
I0016,PR04
I0017,PR05
I0018,PR06
I0019,PR07
I0020,PR08
I0021,PR09
I0022,PR10
I0023,PR11
I0024,PR12
I0025,PR13
I0026,PR14
I0027,PR15
I0028,PR16
I0029,PR17
I0030,PR18
I0031,PR19
I0032,PR20
I0033,PR21
I0034,PR22
I0035,PR23
I0036,PR24
I0037,PR25
I0038,PR26
I0039,PR27
I0040,PR28
I0041,PR29
I0042,PR30
I0043,PR31
I0044,PR32